Suburb,Postcode,LGA,Area,Suburb Rating,No. of Reviews,"Suburb
Tottenham,3012,City of Maribyrnong,Western,3.6,2,N/A,"Clean & green
Eating out
Neighbourly spirit
Parks and recreation
Public transport",No ratings yet,"Professionals
Singles
Families With Kids",50,43,56,56,54,47,47,50,50,"28,333.33","1,000.00","21,333.33",99.90%,99.97%,1 in 1,Relatively unsafe area,"Theft
Burglary/break and enter
Property damage"
Essedon North,3041,City of Moonee Valley,Western,N/A,N/A,N/A,N/A,N/A,N/A,42,51,57,64,66.6,48,43,47,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Bentleigh East,3204,City of Glen Eira,South East,N/A,N/A,N/A,N/A,N/A,N/A,57,47,33,32,31,50,58,60,10,29.87,2.62,20.36,57.11%,64.50%,1 in 382,Considered safe area,"Theft
Burglary/break and enter
Breaches of orders"
Strathmore Heights,3041,City of Moonee Valley,Western,0,0,N/A,N/A,N/A,N/A,63,58,60,67,69,51,64,71,10,34.38,3.82,20.06,61.93%,64.12%,1 in 262,Considered safe area,"Theft
Property damage
Burglary/break and enter"
Essendon Fields,3041,City of Moonee Valley,Western,0,0,N/A,N/A,N/A,N/A,49,58,59,67,68,51,50,54,50,"12,615.38",615.38,"8,384.62",99.75%,99.89%,1 in 2,Relatively unsafe area,"Theft
Deception
Breaches of orders"
North Warrandyte,3113,Shire of Nullumbik,North,0,0,N/A,N/A,N/A,N/A,93,80,29,37,36.2,55,90,93,10,4.63,1.32,1.32,53.26%,35.32%,1 in 757,Considered safe area,"Assault and related offences
Other crimes against the person
Property damage"
Hampton East,3189,City of Bayside,South East,N/A,N/A,N/A,N/A,N/A,N/A,64,55,38,37,35.6,56,66,67,15,71.22,6.9,39.85,72.57%,81.78%,1 in 145,Relatively safe area,"Theft
Breaches of orders
Burglary/break and enter"
Donnybrook,3064,City of Whittlesea,North,3,3,N/A,"Clean & green
Eating out
Neighbourly spirit
Parks and recreation
Public transport",No ratings yet,"Professionals
Singles
Families With Kids",59,59,72,79,79,56,57,62,22,90,11.43,66.67,82.07%,90.42%,1 in 88,Moderately safe,"Theft
Burglary/break and enter
Assault and related offences"
Watsonia North,3087,City of Banyule,North,3.5,2,N/A,"Neighbourly spirit
Parks and recreation
Safe and sound",No ratings yet,"Families With Kids
Singles",72,57,43,50,53,57,68,70,10,15.79,1.05,7.9,52.72%,42.78%,1 in 950,Considered safe area,"Theft
Breaches of orders
Property damage"
Mont Albert North,3127,City of Whitehorse,East,N/A,N/A,N/A,N/A,N/A,N/A,45,33,23.2,27.4,28,57,42,43,10,20.32,1.07,15.69,52.73%,57.20%,1 in 935,Considered safe area,"Burglary/break and enter
Theft
Assault and related offences"
Derrimut,3030,City of Brimbank,Western,N/A,N/A,N/A,N/A,N/A,N/A,62,58,66,65,60,57,59,64,11,53.98,4.28,36.07,63.60%,79.39%,1 in 234,Relatively safe area,"Theft
Burglary/break and enter
Breaches of orders"
Altona North,3028,City of Hobsons Bay,Western,N/A,N/A,N/A,N/A,N/A,N/A,54,55,64,63,58,63,51,56,13,63.72,6.09,39.65,70.11%,81.71%,1 in 164,Relatively safe area,"Theft
Burglary/break and enter
Assault and related offences"
Altona,3028,City of Hobsons Bay,Western,N/A,N/A,N/A,N/A,N/A,N/A,54,55,64,63,58,63,51,56,12,47.78,6.61,24.8,71.68%,70.13%,1 in 151,Relatively safe area,"Theft
Assault and related offences
Burglary/break and enter"
Yallambia,3085,City of Banyule,North,N/A,N/A,N/A,N/A,N/A,N/A,79,68,39,46,47,64,75.2,76.2,10,47.33,3.01,33.7,58.73%,77.92%,1 in 333,Considered safe area,"Theft
Burglary/break and enter
Property damage"
Glen Waverly,3150,City of Monash,South East,N/A,N/A,N/A,N/A,N/A,N/A,71,59,7,14,14,64,68,70,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Aiport West,3042,City of Moonee Valley,Western,N/A,N/A,N/A,N/A,N/A,N/A,63,71,61,68,66.4,67,63,68,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
St Helena,3088,City of Banyule,North,0,0,N/A,N/A,N/A,N/A,79,66,43,50,50.2,69,78,80,10,12.46,0.69,9.69,52.29%,46.40%,1 in 1445,Considered safe area,"Theft
Burglary/break and enter
Property damage"
Glowanbrae,3043,City of Merri-bek,North,N/A,N/A,N/A,N/A,N/A,N/A,64,68,60,#N/A,69,70,65,65,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Keilor Lodge,3038,City of Brimbank,Western,0,0,N/A,N/A,N/A,N/A,66,61,65,72,69.6,72,63,68,10,19.78,3.6,8.99,61.13%,45.04%,1 in 278,Considered safe area,"Theft
Assault and related offences
Deception"
Albanvale,3020,City of Brimbank,Western,N/A,N/A,N/A,N/A,N/A,N/A,56,51,73,71,65,73,53,58,10,35.45,5.32,18.97,67.29%,62.49%,1 in 188,Considered safe area,"Theft
Property damage
Assault and related offences"
Attwood,3049,City of Hume,North,4.3,1,N/A,"Clean & green
Cost of living
Neighbourly spirit
Peace and quiet
Pest-free","Childcare
Eating out
Gym and fitness
Medical facilities
Nightlife",Families With Kids,81,59,62,69,72,75,61,78,10,13.3,2.72,6.65,57.48%,40.62%,1 in 368,Considered safe area,"Theft
Assault and related offences
Property damage"
Upwey,3156,Shire of Yarra Ranges,East,N/A,N/A,N/A,N/A,N/A,N/A,78,62,14,18,19,75,73,74,10,23.47,3.37,12.32,60.25%,51.28%,1 in 296,Considered safe area,"Theft
Assault and related offences
Property damage"
Somerton,3062,City of Hume,North,0,0,N/A,N/A,N/A,N/A,80,71,61,69,71,76,73,81,50,"31,500.00","2,333.33","22,000.00",99.96%,99.98%,1 in 0,Relatively unsafe area,"Theft
Assault and related offences
Property damage"
Eltham North,3095,City of Banyule & Shire of Nullumbik,North,4.6,3,N/A,"Clean & green
Internet access
Neighbourly spirit
Parking
Peace and quiet","Nightlife
Eating out
Gym and fitness
Childcare
Cost of living","Professionals
Families With Kids
Retirees
Singles
Hipsters",85,74,41,48,49,77,83,91,10,8.49,1.32,4.69,53.25%,37.58%,1 in 759,Considered safe area,"Theft
Burglary/break and enter
Assault and related offences"
Research,3095,Shire of Nullumbik,North,4.5,1,N/A,"Childcare
Clean & green
Neighbourly spirit
Parking
Parks and recreation",Nightlife,"Professionals
Families With Kids
Retirees
LGBTQ+
Hipsters",90,71,38,44,44,81,86,86,10,12.24,1.86,5.94,54.51%,39.42%,1 in 539,Considered safe area,"Property damage
Assault and related offences
Theft"
Kilsyth South,3137,City of Maroondah,East,4.4,2,N/A,"Neighbourly spirit
Clean & green
Gym and fitness
Internet access
Parks and recreation",Nightlife,"Families With Kids
Singles",92,85,17,23,22,82,92,93,10,27.95,2.1,12.23,55.25%,51.09%,1 in 477,Considered safe area,"Theft
Breaches of orders
Assault and related offences"
Mickleham,3064,City of Hume,North,4.5,3,N/A,"Clean & green
Eating out
Neighbourly spirit
Parks and recreation
Public transport",No ratings yet,"Families With Kids
Professionals",84,84,67,74,76,84,82,86,10,35.07,5.33,20.34,67.35%,64.47%,1 in 188,Considered safe area,"Theft
Assault and related offences
Burglary/break and enter"
Eumemmerring,3177,City of Casey,South East,4.1,4,N/A,"Gym and fitness
Clean & green
Parks and recreation
Neighbourly spirit
Safe and sound","Nightlife
Shopping options
Medical facilities","Professionals
Families With Kids
Singles
Retirees",93,78,19,20,21.4,85,91,93,23,114.22,11.38,71.77,81.96%,91.51%,1 in 88,Moderately safe,"Theft
Burglary/break and enter
Property damage"
Plenty,3090,Shire of Nullumbik,North,4.6,0,N/A,"Childcare
Clean & green
Gym and fitness
Internet access
Neighbourly spirit",Nightlife,"Professionals
Families With Kids
Retirees
Hipsters
Country Lovers",104,86,47,55,55.8,95,103,104,10,29.13,1.17,18.25,52.91%,61.49%,1 in 858,Considered safe area,"Theft
Burglary/break and enter
Breaches of orders"
Warrandyte South,3134,City of Manningham,East,4.3,1,N/A,"Clean & green
Neighbourly spirit
Parks and recreation
Safe and sound
Schools",No ratings yet,"Professionals
Singles
Families With Kids",103,94,26,32,32,96,104,105,10,16.39,2.98,5.96,58.64%,39.47%,1 in 336,Considered safe area,"Burglary/break and enter
Assault and related offences
Breaches of orders"
Diggers Rest,3427,City of Hume,North,4.4,2,N/A,"Internet access
Medical facilities
Schools
Parks and recreation
Public transport",No ratings yet,"Families With Kids
Professionals
Singles
Retirees",86,82,76,83,80.2,99,84,89,11,49.04,4.76,30.87,65.25%,75.81%,1 in 210,Relatively safe area,"Theft
Burglary/break and enter
Property damage"
Belgrave South,3160,Shire of Yarra Ranges,East,0,0,N/A,N/A,N/A,N/A,101,79,21,22,22,101,96.4,99,10,14.37,0.6,10.78,52.20%,48.25%,1 in 1670,Considered safe area,"Theft
Burglary/break and enter
Property damage"
Braeside,3195,City of Kingston,South East,0,0,N/A,N/A,N/A,N/A,100,86,35,32,29,102,96,98,50,"7,240.00",400,"5,120.00",99.65%,99.79%,1 in 3,Relatively unsafe area,"Theft
Deception
Burglary/break and enter"
Belgrave Heights,3160,Shire of Yarra Ranges,East,0,0,N/A,N/A,N/A,N/A,106,84,21,24,24,106,101.4,104,10,15.02,1.43,7.15,53.45%,41.36%,1 in 699,Considered safe area,"Other crimes against the person
Theft
Assault and related offences"
Calder Park,3037,City of Brimbank,Western,0,0,N/A,N/A,N/A,N/A,115,110,73,79.8,77.8,109,112,116,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Botanic Ridge,3977,City of Casey,South East,4.4,1,N/A,"Clean & green
Neighbourly spirit
Parks and recreation
Public transport
Safe and sound",No ratings yet,"Professionals
Singles
Families With Kids",108,96,35,35,35,111,106,107,10,24.19,2.37,14.69,56.24%,55.61%,1 in 421,Considered safe area,"Theft
Breaches of orders
Burglary/break and enter"
Junction Village,3977,City of Casey,South East,0,0,N/A,N/A,N/A,N/A,124,108,36.8,36.8,36,111,117,119,10,54.23,3.81,39.01,61.85%,81.37%,1 in 263,Considered safe area,"Theft
Burglary/break and enter
Breaches of orders"
Selby,3159,Shire of Yarra Ranges,East,3.6,1,N/A,"Medical facilities
Parks and recreation
Peace and quiet
Schools
Neighbourly spirit",No ratings yet,"Families With Kids
Professionals
Singles",120,99,25,27,27,115,119.2,121.2,10,20.3,3.69,7.38,61.43%,41.79%,1 in 271,Considered safe area,"Assault and related offences
Breaches of orders
Property damage"
Sassafras,3787,City of Knox,East,4.5,2,N/A,"Clean & green
Internet access
Parking
Parks and recreation
Safe and sound",Nightlife,"Families With Kids
Professionals",106,89,22,25,26,118,101.4,104,10,19.59,4.12,8.25,63.07%,43.58%,1 in 243,Considered safe area,"Theft
Assault and related offences
Burglary/break and enter"
Keilor North,3036,City of Brimbank,Western,4.4,1,N/A,"Clean & green
Eating out
Neighbourly spirit
Parks and recreation
Public transport",No ratings yet,"Professionals
Singles
Families With Kids",96,94,69,76,75.2,124,96.2,98,50,626.87,59.7,358.21,97.45%,98.79%,1 in 17,Relatively unsafe area,"Theft
Assault and related offences
Deception"
Cranbourne South,3977,City of Casey,South East,4.6,3,N/A,"Internet access
Parking
Peace and quiet
Neighbourly spirit
Clean & green",Nightlife,"Professionals
Families With Kids
Singles
Retirees
Country Lovers",130,118,34,35,35,129,128,129,10,42.89,3.7,30.55,61.44%,75.63%,1 in 270,Considered safe area,"Theft
Burglary/break and enter
Assault and related offences"
Moorabbin Airport,3045,City of Kingston,South East,N/A,N/A,N/A,N/A,N/A,N/A,151,145,69,76,77,141,148,153,50,"7,269.23",269.23,"5,807.69",99.45%,99.83%,1 in 4,Relatively unsafe area,"Theft
Burglary/break and enter
Deception"
Melbourne Aiport,3045,City of Hume,North,N/A,N/A,N/A,N/A,N/A,N/A,151,145,69,76,77,141,148,153,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
South Marong,3515,City of Whittlesea,North,N/A,N/A,N/A,N/A,N/A,N/A,196,185,143,150.8,149.8,155,183.75,188.75,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
